segment_base_index,crossing_frame,crossing_direction,bounce_frame,x,y,z,side,score,shape,path_score,path_drop_m,path_rise_m,trend,evidence,continuity,evidence_points_before,evidence_points_after,missing_nearby,run_start,run_end,run_length,bbox_source_x,bbox_source_y,bbox_source_w,bbox_source_h,bbox_sink_x,bbox_sink_y,bbox_sink_w,bbox_sink_h
0,112,right_to_left,128,4.5203,3.562,0.4442,source_side,0.6437666666666666,1.0,0.2875333333333333,0.5227999999999999,0.33980000000000005,0.2875333333333333,0.0,1.0,16,7,0,112,135,24,821.0,251.0,19.0,22.0,694.0,195.0,19.0,22.0
2,162,left_to_right,173,5.2986,9.7111,0.1486,sink_side,0.6933666666666667,1.0,0.3867333333333333,0.7449,0.41529999999999995,0.3867333333333333,0.0,1.0,11,25,0,162,198,37,978.0,465.0,16.0,41.0,916.0,382.0,19.0,37.0
2,227,right_to_left,239,3.3857,3.8325,0.4246,source_side,0.58825,1.0,0.17650000000000005,0.38570000000000004,0.14380000000000004,0.17650000000000005,0.0,1.0,12,5,0,227,244,18,739.0,262.0,22.0,22.0,618.0,206.0,19.0,26.0
3,370,left_to_right,386,0.533,11.3014,0.2739,sink_side,0.6783166666666667,1.0,0.35663333333333336,0.7476,0.3223,0.35663333333333336,0.0,1.0,16,5,0,370,391,22,303.0,562.0,25.0,26.0,275.0,588.0,19.0,26.0
5,427,right_to_left,437,-1.8938,5.13,0.2289,source_side,0.703,1.0,0.4059999999999999,0.8281999999999998,0.3898,0.4059999999999999,0.0,1.0,10,7,0,427,444,18,360.0,303.0,25.0,26.0,191.0,292.0,25.0,37.0
11,664,left_to_right,678,4.6032,11.1121,0.3466,sink_side,0.6388,1.0,0.27759999999999996,0.6415,0.19129999999999997,0.27759999999999996,0.0,1.0,14,7,0,664,685,22,925.0,547.0,16.0,22.0,902.0,465.0,25.0,33.0
13,1146,left_to_right,1162,0.225,10.6838,0.361,sink_side,0.7064166666666667,1.0,0.4128333333333334,0.6457,0.5928,0.4128333333333334,0.0,1.0,16,4,0,1146,1169,21,306.0,502.0,16.0,18.0,244.0,532.0,16.0,22.0
16,1306,right_to_left,1327,0.8675,1.8749,0.2916,source_side,0.6635833333333333,1.0,0.32716666666666666,0.7924,0.1891,0.32716666666666666,0.0,1.0,21,3,0,1306,1330,25,596.0,243.0,19.0,26.0,447.0,202.0,19.0,22.0
18,1473,left_to_right,1491,4.5327,11.6916,0.2971,sink_side,0.65145,1.0,0.3029,0.6608999999999999,0.24780000000000008,0.3029,0.0,1.0,18,7,0,1473,1498,26,930.0,611.0,19.0,26.0,925.0,521.0,30.0,30.0
19,1525,right_to_left,1543,0.0801,3.13,0.2481,source_side,0.67565,1.0,0.35129999999999995,0.6538999999999999,0.3999999999999999,0.35129999999999995,0.0,1.0,18,10,0,1525,1553,29,531.0,266.0,22.0,26.0,385.0,232.0,19.0,26.0
20,1575,left_to_right,1586,1.1599,9.3871,0.1039,sink_side,0.6695166666666666,1.0,0.33903333333333335,0.6141000000000001,0.403,0.33903333333333335,0.0,1.0,11,23,0,1575,1609,35,480.0,457.0,22.0,22.0,421.0,442.0,19.0,26.0
20,1637,right_to_left,1648,1.2582,4.1544,0.145,source_side,0.6842,1.0,0.3684,0.6255,0.47970000000000007,0.3684,0.0,1.0,11,7,0,1637,1655,19,596.0,288.0,16.0,22.0,466.0,251.0,19.0,22.0
22,1803,left_to_right,1822,2.6628,12.2193,0.2199,sink_side,0.6683833333333333,1.0,0.33676666666666666,0.5415,0.4688,0.33676666666666666,0.0,1.0,19,10,0,1803,1832,30,593.0,675.0,16.0,26.0,646.0,641.0,19.0,26.0
22,1860,right_to_left,1877,3.9137,2.3351,0.2653,source_side,0.7675833333333333,1.0,0.5351666666666667,0.8542,0.7513,0.5351666666666667,0.0,1.0,17,3,0,1860,1880,21,773.0,247.0,22.0,22.0,644.0,191.0,19.0,22.0
23,1908,left_to_right,1912,4.23,7.1255,0.989,sink_side,0.09822857142857158,0.10595714285714312,0.09050000000000002,0.1825,0.08900000000000008,0.09050000000000002,0.0,1.0,4,10,0,1908,1922,15,821.0,281.0,16.0,26.0,722.0,217.0,22.0,30.0
24,2119,left_to_right,2153,0.9615,12.5082,0.2502,sink_side,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,2119,2153,35,272.0,693.0,19.0,26.0,306.0,735.0,22.0,30.0
26,2295,right_to_left,2302,3.3314,4.9531,0.3859,source_side,0.6516833333333333,1.0,0.3033666666666666,0.5751999999999999,0.3348999999999999,0.3033666666666666,0.0,1.0,7,9,0,2295,2311,17,736.0,285.0,16.0,22.0,624.0,232.0,16.0,22.0
28,2398,right_to_left,2419,4.557,1.4368,0.3491,source_side,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,2398,2420,23,812.0,232.0,19.0,18.0,672.0,168.0,22.0,26.0
29,2705,left_to_right,2726,1.3711,12.6109,0.3205,sink_side,0.6914833333333333,1.0,0.3829666666666667,0.6137,0.5352,0.3829666666666667,0.0,1.0,21,7,0,2705,2734,29,331.0,705.0,19.0,26.0,388.0,727.0,16.0,22.0
33,3008,left_to_right,3018,4.7032,10.0644,0.3397,sink_side,0.6669499999999999,1.0,0.3339,0.6800999999999999,0.3216,0.3339,0.0,1.0,10,11,0,3008,3029,22,911.0,472.0,16.0,22.0,866.0,397.0,19.0,26.0
33,3055,right_to_left,3073,4.9952,2.826,0.4971,source_side,0.5966,1.0,0.19319999999999998,0.3811,0.1985,0.19319999999999998,0.0,1.0,18,6,0,3055,3079,25,849.0,232.0,19.0,30.0,714.0,172.0,22.0,33.0
36,3403,right_to_left,3416,4.0763,3.7199,0.3548,source_side,0.6857,1.0,0.3714,0.8420000000000001,0.2722,0.3714,0.0,1.0,13,8,0,3403,3424,22,790.0,262.0,16.0,26.0,666.0,206.0,19.0,22.0
37,3447,left_to_right,3463,5.3128,10.8186,0.2654,sink_side,0.61905,1.0,0.23810000000000003,0.4464,0.2679,0.23810000000000003,0.0,1.0,16,16,0,3447,3479,33,1026.0,536.0,19.0,26.0,978.0,442.0,22.0,26.0
