row_index,camera,bounce_frame,clip_name,clip_path,status,decode_s,crop_s,write_s,total_s,updated_at
0,source,128,bounce_128_00000.mp4,/mnt/data/cv_output/bounce_clips/source/bounce_128_00000.mp4,ok,0.414266,0.000079,0.052543,0.466906,2026-04-17 12:37:39
1,source,173,bounce_173_00001.mp4,/mnt/data/cv_output/bounce_clips/source/bounce_173_00001.mp4,ok,0.348665,0.000074,0.016361,0.365116,2026-04-17 12:37:39
2,source,239,bounce_239_00002.mp4,/mnt/data/cv_output/bounce_clips/source/bounce_239_00002.mp4,ok,1.154531,0.000075,0.014198,1.168817,2026-04-17 12:37:41
3,source,386,bounce_386_00003.mp4,/mnt/data/cv_output/bounce_clips/source/bounce_386_00003.mp4,ok,0.349823,0.000046,0.016049,0.365929,2026-04-17 12:37:41
4,source,437,bounce_437_00004.mp4,/mnt/data/cv_output/bounce_clips/source/bounce_437_00004.mp4,ok,0.147933,0.000053,0.012005,0.160005,2026-04-17 12:37:41
5,source,678,bounce_678_00005.mp4,/mnt/data/cv_output/bounce_clips/source/bounce_678_00005.mp4,ok,0.142689,0.000052,0.012262,0.155014,2026-04-17 12:37:41
6,source,1162,bounce_1162_00006.mp4,/mnt/data/cv_output/bounce_clips/source/bounce_1162_00006.mp4,ok,0.551904,0.000051,0.016855,0.568821,2026-04-17 12:37:42
7,source,1327,bounce_1327_00007.mp4,/mnt/data/cv_output/bounce_clips/source/bounce_1327_00007.mp4,ok,0.294501,0.000051,0.019574,0.314137,2026-04-17 12:37:42
8,source,1491,bounce_1491_00008.mp4,/mnt/data/cv_output/bounce_clips/source/bounce_1491_00008.mp4,ok,1.139451,0.000054,0.013978,1.153494,2026-04-17 12:37:43
9,source,1543,bounce_1543_00009.mp4,/mnt/data/cv_output/bounce_clips/source/bounce_1543_00009.mp4,ok,0.842476,0.000049,0.018640,0.861176,2026-04-17 12:37:44
10,source,1586,bounce_1586_00010.mp4,/mnt/data/cv_output/bounce_clips/source/bounce_1586_00010.mp4,ok,0.171799,0.000051,0.018120,0.189982,2026-04-17 12:37:44
11,source,1648,bounce_1648_00011.mp4,/mnt/data/cv_output/bounce_clips/source/bounce_1648_00011.mp4,ok,0.376270,0.000050,0.013446,0.389778,2026-04-17 12:37:45
12,source,1822,bounce_1822_00012.mp4,/mnt/data/cv_output/bounce_clips/source/bounce_1822_00012.mp4,ok,0.574469,0.000063,0.022154,0.596698,2026-04-17 12:37:45
13,source,1877,bounce_1877_00013.mp4,/mnt/data/cv_output/bounce_clips/source/bounce_1877_00013.mp4,ok,0.342313,0.000049,0.043859,0.386233,2026-04-17 12:37:46
14,source,1912,bounce_1912_00014.mp4,/mnt/data/cv_output/bounce_clips/source/bounce_1912_00014.mp4,ok,0.165557,0.000054,0.018397,0.184020,2026-04-17 12:37:46
15,source,2153,bounce_2153_00015.mp4,/mnt/data/cv_output/bounce_clips/source/bounce_2153_00015.mp4,ok,1.120001,0.000052,0.014770,1.134833,2026-04-17 12:37:47
16,source,2302,bounce_2302_00016.mp4,/mnt/data/cv_output/bounce_clips/source/bounce_2302_00016.mp4,ok,0.374445,0.000050,0.012853,0.387359,2026-04-17 12:37:47
17,source,2419,bounce_2419_00017.mp4,/mnt/data/cv_output/bounce_clips/source/bounce_2419_00017.mp4,ok,0.168529,0.000049,0.011789,0.180380,2026-04-17 12:37:48
0,sink,128,bounce_128_00000.mp4,/mnt/data/cv_output/bounce_clips/sink/bounce_128_00000.mp4,ok,0.160228,0.000048,0.013333,0.173620,2026-04-17 12:37:48
1,sink,173,bounce_173_00001.mp4,/mnt/data/cv_output/bounce_clips/sink/bounce_173_00001.mp4,ok,0.151460,0.000050,0.010087,0.161607,2026-04-17 12:37:48
2,sink,239,bounce_239_00002.mp4,/mnt/data/cv_output/bounce_clips/sink/bounce_239_00002.mp4,ok,1.160378,0.000054,0.035973,1.196416,2026-04-17 12:37:49
3,sink,386,bounce_386_00003.mp4,/mnt/data/cv_output/bounce_clips/sink/bounce_386_00003.mp4,ok,0.607474,0.000053,0.016985,0.624524,2026-04-17 12:37:50
4,sink,437,bounce_437_00004.mp4,/mnt/data/cv_output/bounce_clips/sink/bounce_437_00004.mp4,ok,0.275497,0.000055,0.015339,0.290902,2026-04-17 12:37:50
5,sink,678,bounce_678_00005.mp4,/mnt/data/cv_output/bounce_clips/sink/bounce_678_00005.mp4,ok,0.160913,0.000049,0.009136,0.170109,2026-04-17 12:37:50
6,sink,1162,bounce_1162_00006.mp4,/mnt/data/cv_output/bounce_clips/sink/bounce_1162_00006.mp4,ok,0.385508,0.000047,0.015297,0.400863,2026-04-17 12:37:51
7,sink,1327,bounce_1327_00007.mp4,/mnt/data/cv_output/bounce_clips/sink/bounce_1327_00007.mp4,ok,0.183023,0.000053,0.016294,0.199381,2026-04-17 12:37:51
8,sink,1491,bounce_1491_00008.mp4,/mnt/data/cv_output/bounce_clips/sink/bounce_1491_00008.mp4,ok,0.921575,0.000052,0.022801,0.944439,2026-04-17 12:37:52
9,sink,1543,bounce_1543_00009.mp4,/mnt/data/cv_output/bounce_clips/sink/bounce_1543_00009.mp4,ok,1.287896,0.000069,0.015142,1.303121,2026-04-17 12:37:53
10,sink,1586,bounce_1586_00010.mp4,/mnt/data/cv_output/bounce_clips/sink/bounce_1586_00010.mp4,ok,0.140668,0.000053,0.018514,0.159247,2026-04-17 12:37:53
11,sink,1648,bounce_1648_00011.mp4,/mnt/data/cv_output/bounce_clips/sink/bounce_1648_00011.mp4,ok,0.374698,0.000051,0.013002,0.387763,2026-04-17 12:37:54
12,sink,1822,bounce_1822_00012.mp4,/mnt/data/cv_output/bounce_clips/sink/bounce_1822_00012.mp4,ok,0.395865,0.000049,0.015303,0.411228,2026-04-17 12:37:54
13,sink,1877,bounce_1877_00013.mp4,/mnt/data/cv_output/bounce_clips/sink/bounce_1877_00013.mp4,ok,0.156746,0.000052,0.012577,0.169387,2026-04-17 12:37:54
14,sink,1912,bounce_1912_00014.mp4,/mnt/data/cv_output/bounce_clips/sink/bounce_1912_00014.mp4,ok,0.118515,0.000052,0.015804,0.134384,2026-04-17 12:37:54
15,sink,2153,bounce_2153_00015.mp4,/mnt/data/cv_output/bounce_clips/sink/bounce_2153_00015.mp4,ok,0.873694,0.000049,0.018562,0.892316,2026-04-17 12:37:55
16,sink,2302,bounce_2302_00016.mp4,/mnt/data/cv_output/bounce_clips/sink/bounce_2302_00016.mp4,ok,0.629551,0.000055,0.024340,0.653957,2026-04-17 12:37:56
17,sink,2419,bounce_2419_00017.mp4,/mnt/data/cv_output/bounce_clips/sink/bounce_2419_00017.mp4,ok,0.393205,0.000051,0.021779,0.415047,2026-04-17 12:37:56
18,source,2726,bounce_2726_00018.mp4,/mnt/data/cv_output/bounce_clips/source/bounce_2726_00018.mp4,ok,0.546593,0.000070,0.014666,0.561343,2026-04-17 12:37:59
19,source,3018,bounce_3018_00019.mp4,/mnt/data/cv_output/bounce_clips/source/bounce_3018_00019.mp4,ok,0.303616,0.000047,0.015822,0.319497,2026-04-17 12:37:59
20,source,3073,bounce_3073_00020.mp4,/mnt/data/cv_output/bounce_clips/source/bounce_3073_00020.mp4,ok,0.350533,0.000048,0.024012,0.374605,2026-04-17 12:38:00
18,sink,2726,bounce_2726_00018.mp4,/mnt/data/cv_output/bounce_clips/sink/bounce_2726_00018.mp4,ok,0.421075,0.000043,0.009293,0.430421,2026-04-17 12:38:00
19,sink,3018,bounce_3018_00019.mp4,/mnt/data/cv_output/bounce_clips/sink/bounce_3018_00019.mp4,ok,0.164122,0.000052,0.011572,0.175756,2026-04-17 12:38:00
20,sink,3073,bounce_3073_00020.mp4,/mnt/data/cv_output/bounce_clips/sink/bounce_3073_00020.mp4,ok,0.123371,0.000043,0.014534,0.137958,2026-04-17 12:38:01
21,source,3416,bounce_3416_00021.mp4,/mnt/data/cv_output/bounce_clips/source/bounce_3416_00021.mp4,ok,0.877279,0.000070,0.013707,0.891066,2026-04-17 12:38:10
